,User,Tweet
64,TIME,Researchers found that exposure—even indirect exposure—to a climate trauma had a long term impact on mental health https://t.co/6Xa8xRDAq3
65,TIME,"Here are the 5 best ways to control high cholesterol, according to people with the condition https://t.co/xvF6H4zZ7L"
66,TIME,Shein was 2022's most popular fashion brand. It's also a nightmare for workers' rights and the environment https://t.co/1qvFmu1tfo
67,TIME,"Practicing gratitude doesn't have to be this hard, writes Dr. Robert Waldinger https://t.co/96yIMUWLRK"
68,TIME,"Stop trying to force that frown upside down. Instead, try the joy-building tips experts really use
https://t.co/f3An1KOgen"
69,TIME,Part of our drive to consume is down to the way our brains have evolved. But there may be a way to break the cycle https://t.co/ERVBpehqeW
70,TIME,"""If I come across as jittery in the video, there are good reasons. For one, I couldn't quite believe that Bryant was doing this.""

@seanmgregory remembers what it was like to play basketball with Kobe Bryant https://t.co/gf2znhRYNt"
71,TIME,State prosecutors have opened investigations against journalists and social media users who disagreed with President Recep Tayyip Erdoğan's handling of the crisis. https://t.co/DtLxdCSF7M
72,TIME,"Finding moments of joy in your day can enhance well-being by strengthening the immune system and combating stress.

Here's how to do it https://t.co/8KiuHUmumQ"
73,TIME,"No one is immune to burnout—especially in times as stressful as these—but we all have the power to change our situations, says @lauriesantos https://t.co/hl2JAqnTtq"
74,TIME,"""As things got more expensive, there was less and less money for stuff that wasn't just bills...You ask yourself: do I go out on a date or get groceries next week?"" https://t.co/wAZr5HyvVr"
75,TIME,"Emotions influence your breathing patterns, and changing your breathing can change your emotions, writes @emmaseppala https://t.co/gNFoqTeIlz"
76,TIME,Here are 9 tips for getting more steps in 👟 https://t.co/Bp2xuqdR4w
77,TIME,The best new books to read this month 📚 https://t.co/hIxu3Xi97S
78,TIME,Do you talk too much? Take this quiz to find out https://t.co/DLUoanLcN6
79,TIME,"Breaking down the #AntManAndTheWaspQuantumania end-credits scenes 
https://t.co/uSHWW9wIS5"
80,TIME,"""Cow burps have a big climate impact. Solving that is harder than you'd think,"" writes Joseph W. McFadden https://t.co/wFSR0VMLwS https://t.co/RwNALZwB7T"
81,TIME,"Maryland's new governor may be the Democrats' most talented newcomer since Barack Obama.

@mollyesque reports on where Wes Moore comes from—and where Democrats see him going https://t.co/mzgl3gHbNY"
82,TIME,"Should we stop building roads to combat climate change? 

This country thinks so https://t.co/knUPXnqKiC"
83,TIME,"Compared to other online services like Uber, which have also faced scrutiny for the facilitation of sexual assault, dating apps are lagging behind in security measures https://t.co/dGN631T7CP"
84,TIME,"""The search for something as meaningful as a life partner has been overshadowed by the need for financial security, or at least the dream of an easier life with two healthy incomes,"" writes @MyishaBattle https://t.co/6qPvMuYuVD"
85,TIME,"""What has driven America to become so exclamatory?"" asks Ilan Stavans https://t.co/S8JMVQneK2"
86,TIME,"Streaming, which favors binge-friendly miniseries and shorter seasons, has helped to create a romantic-comedy boom https://t.co/DPCbPJREuX"
87,TIME,"Here's how to have a conversation about sex with your partner, according to psychotherapist Vanessa Marin https://t.co/IFGBHha4R6"
88,TIME,Microsoft has decided to limit each user to five questions per session and 50 questions per day https://t.co/niXGGIJnIg
89,TIME,The Carter Center said Saturday that former President Jimmy Carter has entered home hospice care https://t.co/x7Rg1gyYSj
90,TIME,Here are 8 ways to read more books—and why you should 📖 https://t.co/D5Dw6JtivD https://t.co/lsrqts715f
91,TIME,"""Here are some concrete ways we can help teens find purpose and direction in the face of an uncertain future.""

📝 @mbredouw https://t.co/HhzkgxwXv5"
92,TIME,"""Because of a lack of research, we still can't answer important questions about what reduced the spread of COVID-19.

""We need answers to these questions so we can prepare for the next pandemic.""

📝 @GidMK and @GYamey https://t.co/OoAvUxun4t"
93,TIME,"Here are some answers about why Twitter is making it necessary to pay for text message two-factor authentication, and alternative ways to secure your account:

 https://t.co/uMv2qY4RQH"
94,TIME,Here's what we know so far about the lawsuits against the company at the center of the Ohio train derailment https://t.co/4DvLsV1fSO
95,TIME,"“Some people just don’t want to organize their lives around a romantic partner,” says social psychologist @belladepaulo.

“They want to take advantage of the freedom to curate lives of their own” https://t.co/RyyaWJgApX"
96,TIME,"Review: ""Magic Mike's Last Dance"" starts off steamy but stumbles toward the finish.

📝 @szacharek https://t.co/PYg0OlQd5A"
97,TIME,"As people return to the office, it's back to misery for America's working moms, writes @AlanaSemuels https://t.co/JScjD4a6hv"
98,TIME,"It sucks to be a sucker. Here's the psychology behind our hatred of being scammed.

📝 @tesswilkry https://t.co/e1x0z6JieY"
99,TIME,"""We've had hard evidence that teen mental health was in crisis for at least 5 years, but too many dithered over details instead of doing something."" 

📝 Jean M. Twenge https://t.co/aXSu6pBNUl"
